iter	Passed	Remaining
973	32351	863
974	32381	830
975	32411	797
976	32439	763
977	32468	730
978	32496	697
979	32524	663
980	32553	630
981	32583	597
982	32611	563
983	32639	530
984	32671	497
985	32703	464
986	32734	431
987	32766	397
988	32798	364
989	32832	331
990	32867	298
991	32900	265
992	32930	232
993	32964	198
994	32996	165
995	33024	132
996	33053	99
997	33081	66
998	33112	33
999	33140	0
